"SKU Nbr","Store Nbr","Short Week","SKU Status Code","THD Sku Status CD + ","Str OH Units Wkly","Sales Units"
"1005945472","0720","FW 202050","100-ACTIVE","100-ACTIVE","112",""
"1005945472","4926","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1003912161","1282","FW 202047","100-ACTIVE","100-ACTIVE","52",""
"1003912161","0882","FW 202048","400-INACTIVE","400-INACTIVE","52",""
"1005945472","0883","FW 202051","100-ACTIVE","100-ACTIVE","111",""
"1005945472","4930","FW 202048","400-INACTIVE","400-INACTIVE","0",""
"1003912161","2802","FW 202049","400-INACTIVE","400-INACTIVE","0",""
"1005945472","2681","FW 202047","100-ACTIVE","100-ACTIVE","56",""
"1003912161","4283","FW 202050","100-ACTIVE","100-ACTIVE","21","2"
"1003912161","8466","FW 202047","100-ACTIVE","100-ACTIVE","25","1"
"1005945472","1218","FW 202047","100-ACTIVE","100-ACTIVE","112",""
"1003912161","0883","FW 202052","100-ACTIVE","100-ACTIVE","52",""
"1005945472","0884","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1003912161","2844","FW 202052","100-ACTIVE","100-ACTIVE","26",""
"1005945472","4940","FW 202049","100-ACTIVE","100-ACTIVE","56",""
"1005945472","2806","FW 202050","400-INACTIVE","400-INACTIVE","112",""
"1003912161","0813","FW 202050","100-ACTIVE","100-ACTIVE","52",""
"1003912161","0818","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1003912161","2807","FW 202049","400-INACTIVE","400-INACTIVE","0",""
"1005945472","4907","FW 202049","100-ACTIVE","100-ACTIVE","56",""
"1003912161","0726","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1003912161","4940","FW 202048","400-INACTIVE","400-INACTIVE","0",""
"1003912161","4925","FW 202049","100-ACTIVE","100-ACTIVE","26",""
"1005945472","2605","FW 202052","100-ACTIVE","100-ACTIVE","100",""
"1003912161","0813","FW 202048","400-INACTIVE","400-INACTIVE","0",""
"1005945472","4918","FW 202050","100-ACTIVE","100-ACTIVE","112",""
"1003912161","2833","FW 202049","400-INACTIVE","400-INACTIVE","52",""
"1003912161","1216","FW 202050","100-ACTIVE","100-ACTIVE","26",""
"1005945472","0720","FW 202101","100-ACTIVE","100-ACTIVE","","4"
"1003912161","2650","FW 202049","100-ACTIVE","100-ACTIVE","26",""
"1003912161","0875","FW 202048","400-INACTIVE","400-INACTIVE","52",""
"1003912161","0735","FW 202049","100-ACTIVE","100-ACTIVE","52",""
"1005945472","2842","FW 202050","400-INACTIVE","400-INACTIVE","0",""
"1005945472","4918","FW 202051","100-ACTIVE","100-ACTIVE","100","12"
"1005945472","2826","FW 202051","400-INACTIVE","400-INACTIVE","56",""
"1003912161","4941","FW 202051","100-ACTIVE","100-ACTIVE","52",""
"1005945472","4911","FW 202049","100-ACTIVE","100-ACTIVE","56",""
"1003912161","2615","FW 202052","100-ACTIVE","100-ACTIVE","25","1"
"1005945472","2650","FW 202047","100-ACTIVE","100-ACTIVE","56",""
"1005945472","2821","FW 202049","400-INACTIVE","400-INACTIVE","0",""
"1005945472","2847","FW 202051","400-INACTIVE","400-INACTIVE","50","1"
"1005945472","1216","FW 202052","100-ACTIVE","100-ACTIVE","56",""
"1003912161","0726","FW 202050","100-ACTIVE","100-ACTIVE","52",""
"1005945472","0805","FW 202050","100-ACTIVE","100-ACTIVE","112",""
"1003912161","0721","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1003912161","2669","FW 202048","100-ACTIVE","100-ACTIVE","52",""
"1003912161","0804","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1005945472","1274","FW 202049","100-ACTIVE","100-ACTIVE","56",""
"1003912161","8466","FW 202049","100-ACTIVE","100-ACTIVE","23",""
"1005945472","8466","FW 202052","100-ACTIVE","100-ACTIVE","47","1"
"1003912161","2806","FW 202051","400-INACTIVE","400-INACTIVE","52",""
"1003912161","0720","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1003912161","0722","FW 202051","100-ACTIVE","100-ACTIVE","51",""
"1003912161","2813","FW 202051","400-INACTIVE","400-INACTIVE","26",""
"1003912161","2676","FW 202051","100-ACTIVE","100-ACTIVE","45",""
"1003912161","4920","FW 202052","100-ACTIVE","100-ACTIVE","43","2"
"1005945472","4906","FW 202051","100-ACTIVE","100-ACTIVE","112",""
"1003912161","2613","FW 202051","100-ACTIVE","100-ACTIVE","52",""
"1005945472","4907","FW 202048","400-INACTIVE","400-INACTIVE","0",""
"1003912161","0735","FW 202052","100-ACTIVE","100-ACTIVE","37","3"
"1005945472","2803","FW 202049","400-INACTIVE","400-INACTIVE","0",""
"1005945472","4910","FW 202051","100-ACTIVE","100-ACTIVE","109",""
"1005945472","0726","FW 202048","400-INACTIVE","400-INACTIVE","112",""
"1005945472","0803","FW 202051","100-ACTIVE","100-ACTIVE","112",""
"1005945472","2825","FW 202052","100-ACTIVE","100-ACTIVE","80","6"
"1003912161","1213","FW 202046","100-ACTIVE","100-ACTIVE","52",""
"1005945472","1208","FW 202047","100-ACTIVE","100-ACTIVE","56",""
"1003912161","1213","FW 202048","100-ACTIVE","100-ACTIVE","49","3"
"1003912161","0888","FW 202049","100-ACTIVE","100-ACTIVE","51","1"
"1005945472","2809","FW 202049","400-INACTIVE","400-INACTIVE","0",""
"1005945472","0735","FW 202051","100-ACTIVE","100-ACTIVE","112",""
"1005945472","8465","FW 202049","100-ACTIVE","100-ACTIVE","56",""
"1003912161","4906","FW 202048","400-INACTIVE","400-INACTIVE","0",""
"1005945472","0805","FW 202051","100-ACTIVE","100-ACTIVE","112",""
"1003912161","0881","FW 202049","100-ACTIVE","100-ACTIVE","52",""
"1005945472","4906","FW 202052","100-ACTIVE","100-ACTIVE","101","11"
"1003912161","2813","FW 202049","400-INACTIVE","400-INACTIVE","0",""
"1003912161","2680","FW 202047","100-ACTIVE","100-ACTIVE","26",""
"1005945472","4940","FW 202051","100-ACTIVE","100-ACTIVE","56",""
"1005945472","2669","FW 202050","100-ACTIVE","100-ACTIVE","87","16"
"1003912161","2805","FW 202052","100-ACTIVE","100-ACTIVE","26",""
"1005945472","2807","FW 202051","400-INACTIVE","400-INACTIVE","109","3"
"1003912161","2812","FW 202051","400-INACTIVE","400-INACTIVE","26",""
"1003912161","2681","FW 202050","100-ACTIVE","100-ACTIVE","25",""
"1003912161","0883","FW 202051","100-ACTIVE","100-ACTIVE","52",""
"1005945472","2676","FW 202051","100-ACTIVE","100-ACTIVE","108","4"
"1005945472","1282","FW 202050","100-ACTIVE","100-ACTIVE","110","2"
"1003912161","0804","FW 202050","100-ACTIVE","100-ACTIVE","51","1"
"1003912161","2613","FW 202049","100-ACTIVE","100-ACTIVE","52",""
"1003912161","2669","FW 202052","100-ACTIVE","100-ACTIVE","40","2"
"1005945472","4911","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1003912161","2659","FW 202046","100-ACTIVE","100-ACTIVE","0",""
"1005945472","0880","FW 202049","100-ACTIVE","100-ACTIVE","112",""
"1005945472","1274","FW 202046","100-ACTIVE","100-ACTIVE","56",""
"1003912161","2843","FW 202052","100-ACTIVE","100-ACTIVE","26",""
"1005945472","2828","FW 202052","400-INACTIVE","400-INACTIVE","","4"
"1005945472","2650","FW 202048","100-ACTIVE","100-ACTIVE","56",""
"1005945472","0775","FW 202050","100-ACTIVE","100-ACTIVE","112",""
"1005945472","2669","FW 202052","100-ACTIVE","100-ACTIVE","60","27"
"1003912161","0803","FW 202050","100-ACTIVE","100-ACTIVE","52",""
"1003912161","0818","FW 202049","100-ACTIVE","100-ACTIVE","52",""
"1005945472","0809","FW 202051","100-ACTIVE","100-ACTIVE","111",""
"1005945472","4287","FW 202048","100-ACTIVE","100-ACTIVE","56",""
"1005945472","4940","FW 202048","400-INACTIVE","400-INACTIVE","0",""
"1005945472","4902","FW 202049","100-ACTIVE","100-ACTIVE","112",""
"1005945472","2605","FW 202050","100-ACTIVE","100-ACTIVE","100","11"
"1005945472","0778","FW 202051","100-ACTIVE","100-ACTIVE","112",""
"1003912161","2821","FW 202050","400-INACTIVE","400-INACTIVE","0",""
"1003912161","8958","FW 202051","100-ACTIVE","100-ACTIVE","26",""
"1005945472","0733","FW 202048","400-INACTIVE","400-INACTIVE","0",""
"1005945472","0883","FW 202048","400-INACTIVE","400-INACTIVE","112",""
"1003912161","4287","FW 202046","100-ACTIVE","100-ACTIVE","0",""
"1003912161","0803","FW 202048","400-INACTIVE","400-INACTIVE","52",""
"1005945472","0809","FW 202052","100-ACTIVE","100-ACTIVE","111",""
"1005945472","0720","FW 202049","100-ACTIVE","100-ACTIVE","112",""
"1003912161","1216","FW 202051","100-ACTIVE","100-ACTIVE","26",""
"1005945472","1206","FW 202046","100-ACTIVE","100-ACTIVE","112",""
"1003912161","2674","FW 202049","100-ACTIVE","100-ACTIVE","26",""
"1003912161","0723","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1003912161","0884","FW 202050","100-ACTIVE","100-ACTIVE","52",""
"1005945472","0806","FW 202052","100-ACTIVE","100-ACTIVE","112",""
"1003912161","2681","FW 202049","100-ACTIVE","100-ACTIVE","25","1"
"1003912161","0888","FW 202050","100-ACTIVE","100-ACTIVE","46","5"
"1003912161","0775","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1005945472","1222","FW 202045","400-INACTIVE","400-INACTIVE","112",""
"1005945472","2605","FW 202048","100-ACTIVE","100-ACTIVE","112",""
"1003912161","1282","FW 202052","100-ACTIVE","100-ACTIVE","39","2"
"1005945472","2669","FW 202045","400-INACTIVE","400-INACTIVE","0",""
"1003912161","0880","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1005945472","0813","FW 202049","100-ACTIVE","100-ACTIVE","112",""
"1003912161","2615","FW 202049","100-ACTIVE","100-ACTIVE","26",""
"1003912161","0734","FW 202049","100-ACTIVE","100-ACTIVE","52",""
"1003912161","4928","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1005945472","0818","FW 202051","100-ACTIVE","100-ACTIVE","90","22"
"1005945472","2667","FW 202045","400-INACTIVE","400-INACTIVE","112",""
"1003912161","1216","FW 202047","100-ACTIVE","100-ACTIVE","26",""
"1003912161","6105","FW 202050","100-ACTIVE","100-ACTIVE","20","6"
"1003912161","2680","FW 202048","100-ACTIVE","100-ACTIVE","26",""
"1003912161","4940","FW 202049","100-ACTIVE","100-ACTIVE","26",""
"1005945472","2669","FW 202051","100-ACTIVE","100-ACTIVE","87",""
"1005945472","0888","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1003912161","1218","FW 202047","100-ACTIVE","100-ACTIVE","52",""
"1005945472","0734","FW 202048","400-INACTIVE","400-INACTIVE","112",""
"1003912161","4287","FW 202050","100-ACTIVE","100-ACTIVE","21","5"
"1005945472","2605","FW 202045","400-INACTIVE","400-INACTIVE","0",""
"1003912161","4283","FW 202045","400-INACTIVE","400-INACTIVE","0",""
"1005945472","4283","FW 202046","100-ACTIVE","100-ACTIVE","0",""
"1003912161","4935","FW 202051","400-INACTIVE","400-INACTIVE","26",""
"1005945472","0733","FW 202052","100-ACTIVE","100-ACTIVE","112",""
"1005945472","2821","FW 202051","400-INACTIVE","400-INACTIVE","0",""
"1003912161","0733","FW 202051","100-ACTIVE","100-ACTIVE","52",""
"1005945472","4905","FW 202050","400-INACTIVE","400-INACTIVE","56",""
"1005945472","0726","FW 202051","100-ACTIVE","100-ACTIVE","96","6"
"1005945472","0888","FW 202048","400-INACTIVE","400-INACTIVE","0",""
"1005945472","0887","FW 202049","100-ACTIVE","100-ACTIVE","107",""
"1005945472","8958","FW 202048","100-ACTIVE","100-ACTIVE","56",""
"1003912161","2840","FW 202101","100-ACTIVE","100-ACTIVE","","2"
"1003912161","0809","FW 202050","100-ACTIVE","100-ACTIVE","52",""
"1005945472","0734","FW 202049","100-ACTIVE","100-ACTIVE","112",""
"1005945472","4910","FW 202048","400-INACTIVE","400-INACTIVE","0",""
"1005945472","8465","FW 202047","100-ACTIVE","100-ACTIVE","56",""
"1003912161","1216","FW 202046","100-ACTIVE","100-ACTIVE","26",""
"1003912161","4918","FW 202048","400-INACTIVE","400-INACTIVE","0",""
"1005945472","2667","FW 202048","100-ACTIVE","100-ACTIVE","112",""
"1005945472","2843","FW 202050","400-INACTIVE","400-INACTIVE","0",""
"1005945472","4924","FW 202048","400-INACTIVE","400-INACTIVE","0",""
"1005945472","0735","FW 202048","400-INACTIVE","400-INACTIVE","0",""
"1005945472","1218","FW 202051","100-ACTIVE","100-ACTIVE","112",""
"1003912161","2605","FW 202046","100-ACTIVE","100-ACTIVE","52",""
"1005945472","2613","FW 202050","100-ACTIVE","100-ACTIVE","112",""
"1003912161","0723","FW 202048","400-INACTIVE","400-INACTIVE","44","8"
"1003912161","4923","FW 202049","100-ACTIVE","100-ACTIVE","52",""
"1005945472","0818","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1003912161","2674","FW 202045","400-INACTIVE","400-INACTIVE","26",""
"1005945472","1222","FW 202046","100-ACTIVE","100-ACTIVE","112",""
"1003912161","4903","FW 202051","100-ACTIVE","100-ACTIVE","52",""
"1005945472","2806","FW 202051","400-INACTIVE","400-INACTIVE","112",""
"1005945472","2681","FW 202045","400-INACTIVE","400-INACTIVE","56",""
"1005945472","1213","FW 202049","100-ACTIVE","100-ACTIVE","111","1"
"1005945472","2801","FW 202051","400-INACTIVE","400-INACTIVE","112",""
"1005945472","0722","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1003912161","2820","FW 202049","400-INACTIVE","400-INACTIVE","0","1"
"1003912161","2605","FW 202045","400-INACTIVE","400-INACTIVE","0",""
"1003912161","2615","FW 202050","100-ACTIVE","100-ACTIVE","26",""
"1003912161","0809","FW 202051","100-ACTIVE","100-ACTIVE","52",""
"1003912161","2810","FW 202050","400-INACTIVE","400-INACTIVE","26",""
"1003912161","1213","FW 202052","100-ACTIVE","100-ACTIVE","43","4"
"1005945472","4929","FW 202050","100-ACTIVE","100-ACTIVE","112",""
"1003912161","4935","FW 202052","100-ACTIVE","100-ACTIVE","26",""
"1005945472","4910","FW 202050","100-ACTIVE","100-ACTIVE","109",""
"1003912161","0884","FW 202048","400-INACTIVE","400-INACTIVE","0",""
"1003912161","0778","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1003912161","4926","FW 202051","100-ACTIVE","100-ACTIVE","45","7"
"1005945472","0884","FW 202049","100-ACTIVE","100-ACTIVE","112",""
"1003912161","8465","FW 202052","100-ACTIVE","100-ACTIVE","18","0"
"1005945472","0818","FW 202050","100-ACTIVE","100-ACTIVE","112",""
"1003912161","0804","FW 202049","100-ACTIVE","100-ACTIVE","52","1"
"1003912161","2842","FW 202052","100-ACTIVE","100-ACTIVE","52",""
"1005945472","2680","FW 202049","100-ACTIVE","100-ACTIVE","56",""
"1005945472","2808","FW 202052","100-ACTIVE","100-ACTIVE","112",""
"1003912161","1274","FW 202047","100-ACTIVE","100-ACTIVE","26",""
"1003912161","4925","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1003912161","0720","FW 202048","400-INACTIVE","400-INACTIVE","0",""
"1003912161","2840","FW 202051","400-INACTIVE","400-INACTIVE","50","1"
"1003912161","0888","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1005945472","2659","FW 202049","100-ACTIVE","100-ACTIVE","56",""
"1005945472","0723","FW 202050","100-ACTIVE","100-ACTIVE","112",""
"1005945472","1229","FW 202048","100-ACTIVE","100-ACTIVE","56",""
"1003912161","4924","FW 202050","100-ACTIVE","100-ACTIVE","26",""
"1003912161","4906","FW 202049","100-ACTIVE","100-ACTIVE","0",""
"1005945472","4941","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1005945472","0805","FW 202052","100-ACTIVE","100-ACTIVE","112",""
"1003912161","4931","FW 202050","100-ACTIVE","100-ACTIVE","26",""
"1003912161","2676","FW 202047","100-ACTIVE","100-ACTIVE","52",""
"1005945472","2650","FW 202052","100-ACTIVE","100-ACTIVE","45","8"
"1005945472","2615","FW 202049","100-ACTIVE","100-ACTIVE","21","12"
"1005945472","6105","FW 202050","100-ACTIVE","100-ACTIVE","53",""
"1005945472","2669","FW 202049","100-ACTIVE","100-ACTIVE","103","9"
"1003912161","8465","FW 202049","100-ACTIVE","100-ACTIVE","21","5"
"1005945472","4907","FW 202052","100-ACTIVE","100-ACTIVE","56",""
"1005945472","2680","FW 202051","100-ACTIVE","100-ACTIVE","52",""
"1003912161","1222","FW 202048","100-ACTIVE","100-ACTIVE","52",""
"1005945472","4909","FW 202052","100-ACTIVE","100-ACTIVE","103","(1)"
"1003912161","0733","FW 202050","100-ACTIVE","100-ACTIVE","52",""
"1005945472","0803","FW 202048","400-INACTIVE","400-INACTIVE","112",""
"1005945472","0707","FW 202048","400-INACTIVE","400-INACTIVE","0",""
"1003912161","1274","FW 202052","100-ACTIVE","100-ACTIVE","20",""
"1005945472","4930","FW 202051","100-ACTIVE","100-ACTIVE","111",""
"1003912161","0775","FW 202050","100-ACTIVE","100-ACTIVE","44","4"
"1005945472","0726","FW 202052","100-ACTIVE","100-ACTIVE","96",""
"1003912161","1218","FW 202045","400-INACTIVE","400-INACTIVE","52",""
"1003912161","4907","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1003912161","4906","FW 202050","100-ACTIVE","100-ACTIVE","52",""
"1003912161","0810","FW 202050","100-ACTIVE","100-ACTIVE","49","1"
"1005945472","1216","FW 202046","100-ACTIVE","100-ACTIVE","56",""
"1003912161","0720","FW 202051","100-ACTIVE","100-ACTIVE","52",""
"1003912161","2809","FW 202050","400-INACTIVE","400-INACTIVE","26",""
"1005945472","8465","FW 202051","100-ACTIVE","100-ACTIVE","56",""
"1003912161","0732","FW 202052","100-ACTIVE","100-ACTIVE","52",""
"1005945472","0733","FW 202051","100-ACTIVE","100-ACTIVE","112",""
"1005945472","4935","FW 202051","400-INACTIVE","400-INACTIVE","56",""
"1003912161","0778","FW 202051","100-ACTIVE","100-ACTIVE","52",""
"1005945472","2845","FW 202050","400-INACTIVE","400-INACTIVE","0",""
"1003912161","2674","FW 202046","100-ACTIVE","100-ACTIVE","26",""
"1005945472","0813","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1003912161","1206","FW 202047","100-ACTIVE","100-ACTIVE","52",""
"1003912161","4923","FW 202050","100-ACTIVE","100-ACTIVE","52",""
"1005945472","4926","FW 202051","100-ACTIVE","100-ACTIVE","88","21"
"1003912161","0810","FW 202049","100-ACTIVE","100-ACTIVE","50","2"
"1005945472","0809","FW 202048","400-INACTIVE","400-INACTIVE","111","1"
"1003912161","1274","FW 202045","400-INACTIVE","400-INACTIVE","26",""
"1005945472","2840","FW 202052","400-INACTIVE","400-INACTIVE","","9"
"1003912161","0732","FW 202048","400-INACTIVE","400-INACTIVE","52",""
"1003912161","0722","FW 202048","400-INACTIVE","400-INACTIVE","0",""
"1003912161","2821","FW 202052","100-ACTIVE","100-ACTIVE","26",""
"1003912161","4912","FW 202051","100-ACTIVE","100-ACTIVE","52",""
"1003912161","4902","FW 202048","400-INACTIVE","400-INACTIVE","0",""
"1003912161","2833","FW 202050","400-INACTIVE","400-INACTIVE","52",""
"1005945472","2828","FW 202049","400-INACTIVE","400-INACTIVE","0",""
"1005945472","8465","FW 202052","100-ACTIVE","100-ACTIVE","56",""
"1003912161","0813","FW 202052","100-ACTIVE","100-ACTIVE","50",""
"1005945472","0775","FW 202049","100-ACTIVE","100-ACTIVE","112",""
"1005945472","1222","FW 202050","100-ACTIVE","100-ACTIVE","102","10"
"1003912161","2801","FW 202050","400-INACTIVE","400-INACTIVE","52",""
"1005945472","2803","FW 202051","400-INACTIVE","400-INACTIVE","112",""
"1005945472","0735","FW 202050","100-ACTIVE","100-ACTIVE","112",""
"1005945472","1222","FW 202048","100-ACTIVE","100-ACTIVE","112",""
"1005945472","8465","FW 202045","400-INACTIVE","400-INACTIVE","56",""
"1003912161","8958","FW 202048","100-ACTIVE","100-ACTIVE","26",""
"1005945472","4902","FW 202052","100-ACTIVE","100-ACTIVE","104",""
"1005945472","1218","FW 202049","100-ACTIVE","100-ACTIVE","112",""
"1005945472","4915","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1003912161","0775","FW 202048","400-INACTIVE","400-INACTIVE","52",""
"1003912161","4910","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1005945472","2676","FW 202049","100-ACTIVE","100-ACTIVE","112",""
"1005945472","0745","FW 202050","100-ACTIVE","100-ACTIVE","112",""
"1005945472","2810","FW 202051","400-INACTIVE","400-INACTIVE","56",""
"1005945472","0806","FW 202048","400-INACTIVE","400-INACTIVE","112",""
"1005945472","2809","FW 202050","400-INACTIVE","400-INACTIVE","55",""
"1005945472","2802","FW 202049","400-INACTIVE","400-INACTIVE","0",""
"1005945472","0804","FW 202048","400-INACTIVE","400-INACTIVE","112",""
"1005945472","1274","FW 202050","100-ACTIVE","100-ACTIVE","56",""
"1005945472","2804","FW 202050","400-INACTIVE","400-INACTIVE","56",""
"1005945472","0734","FW 202050","100-ACTIVE","100-ACTIVE","112",""
"1005945472","2650","FW 202049","100-ACTIVE","100-ACTIVE","56",""
"1003912161","4930","FW 202052","100-ACTIVE","100-ACTIVE","52",""
"1005945472","4925","FW 202052","100-ACTIVE","100-ACTIVE","53",""
"1003912161","0721","FW 202052","100-ACTIVE","100-ACTIVE","51","1"
"1003912161","2841","FW 202051","400-INACTIVE","400-INACTIVE","26",""
"1005945472","4918","FW 202052","100-ACTIVE","100-ACTIVE","100",""
"1003912161","2605","FW 202047","100-ACTIVE","100-ACTIVE","52",""
"1005945472","2659","FW 202048","100-ACTIVE","100-ACTIVE","56",""
"1003912161","0881","FW 202052","100-ACTIVE","100-ACTIVE","42",""
"1003912161","2806","FW 202049","400-INACTIVE","400-INACTIVE","0",""
"1005945472","2676","FW 202047","100-ACTIVE","100-ACTIVE","112",""
"1005945472","4920","FW 202049","100-ACTIVE","100-ACTIVE","112",""
"1003912161","0812","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1003912161","0720","FW 202050","100-ACTIVE","100-ACTIVE","52",""
"1003912161","0884","FW 202049","100-ACTIVE","100-ACTIVE","52",""
"1005945472","0723","FW 202048","400-INACTIVE","400-INACTIVE","112",""
"1003912161","0735","FW 202048","400-INACTIVE","400-INACTIVE","0",""
"1003912161","1274","FW 202048","100-ACTIVE","100-ACTIVE","25","1"
"1003912161","4909","FW 202048","400-INACTIVE","400-INACTIVE","0",""
"1003912161","4928","FW 202050","100-ACTIVE","100-ACTIVE","52",""
"1003912161","0733","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1005945472","0721","FW 202052","100-ACTIVE","100-ACTIVE","111",""
"1005945472","4928","FW 202050","100-ACTIVE","100-ACTIVE","112",""
"1003912161","0812","FW 202051","100-ACTIVE","100-ACTIVE","52",""
"1003912161","0804","FW 202048","400-INACTIVE","400-INACTIVE","52",""
"1005945472","0880","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1005945472","2613","FW 202051","100-ACTIVE","100-ACTIVE","103","6"
"1003912161","0803","FW 202052","100-ACTIVE","100-ACTIVE","52",""
"1005945472","0882","FW 202047","400-INACTIVE","400-INACTIVE","0",""
"1005945472","0722","FW 202051","100-ACTIVE","100-ACTIVE","112",""
"1003912161","4941","FW 202048","400-INACTIVE","400-INACTIVE","0",""
"1003912161","6105","FW 202052","100-ACTIVE","100-ACTIVE","19",""
"1005945472","2820","FW 202049","400-INACTIVE","400-INACTIVE","0",""
"1003912161","2676","FW 202050","100-ACTIVE","100-ACTIVE","45","7"
"1003912161","4911","FW 202052","100-ACTIVE","100-ACTIVE","25",""
"1003912161","0726","FW 202051","100-ACTIVE","100-ACTIVE","51","1"
"1003912161","2828","FW 202049","400-INACTIVE","400-INACTIVE","0",""
"1005945472","2810","FW 202049","400-INACTIVE","400-INACTIVE","56",""